idx,weekday,wd_name,hour,minute,week1,week2,week3,week4,top100_mre,overall_mre
306,2,Wed,0,40,2018-09-05 00:40:00,2018-09-12 00:40:00,2018-09-19 00:40:00,2018-09-26 00:40:00,0.568014,0.237425
307,2,Wed,3,55,2018-09-05 03:55:00,2018-09-12 03:55:00,2018-09-19 03:55:00,2018-09-26 03:55:00,0.655049,0.181920
308,2,Wed,2,40,2018-09-05 02:40:00,2018-09-12 02:40:00,2018-09-19 02:40:00,2018-09-26 02:40:00,0.705698,0.149491
309,2,Wed,16,05,2018-09-05 16:05:00,2018-09-12 16:05:00,2018-09-19 16:05:00,2018-09-26 16:05:00,0.390871,1.028131
310,2,Wed,20,55,2018-09-05 20:55:00,2018-09-12 20:55:00,2018-09-19 20:55:00,2018-09-26 20:55:00,0.452004,0.645019
311,2,Wed,11,30,2018-09-05 11:30:00,2018-09-12 11:30:00,2018-09-19 11:30:00,2018-09-26 11:30:00,0.255817,0.898245
312,2,Wed,6,30,2018-09-05 06:30:00,2018-09-12 06:30:00,2018-09-19 06:30:00,2018-09-26 06:30:00,0.440843,0.394456
313,2,Wed,22,30,2018-09-05 22:30:00,2018-09-12 22:30:00,2018-09-19 22:30:00,2018-09-26 22:30:00,0.608429,0.498983
314,2,Wed,23,40,2018-09-05 23:40:00,2018-09-12 23:40:00,2018-09-19 23:40:00,2018-09-26 23:40:00,0.662506,0.338061
315,2,Wed,3,25,2018-09-05 03:25:00,2018-09-12 03:25:00,2018-09-19 03:25:00,2018-09-26 03:25:00,0.674938,0.202144
316,2,Wed,7,25,2018-09-05 07:25:00,2018-09-12 07:25:00,2018-09-19 07:25:00,2018-09-26 07:25:00,0.427812,0.602859
317,2,Wed,21,30,2018-09-05 21:30:00,2018-09-12 21:30:00,2018-09-19 21:30:00,2018-09-26 21:30:00,0.603841,0.647897
318,2,Wed,11,45,2018-09-05 11:45:00,2018-09-12 11:45:00,2018-09-19 11:45:00,2018-09-26 11:45:00,0.322224,0.867420
319,2,Wed,3,20,2018-09-05 03:20:00,2018-09-12 03:20:00,2018-09-19 03:20:00,2018-09-26 03:20:00,0.726098,0.193183
320,2,Wed,4,00,2018-09-05 04:00:00,2018-09-12 04:00:00,2018-09-19 04:00:00,2018-09-26 04:00:00,0.621233,0.242703
321,2,Wed,3,40,2018-09-05 03:40:00,2018-09-12 03:40:00,2018-09-19 03:40:00,2018-09-26 03:40:00,0.651735,0.232654
322,2,Wed,4,25,2018-09-05 04:25:00,2018-09-12 04:25:00,2018-09-19 04:25:00,2018-09-26 04:25:00,0.573929,0.195839
323,2,Wed,9,00,2018-09-05 09:00:00,2018-09-12 09:00:00,2018-09-19 09:00:00,2018-09-26 09:00:00,0.305475,0.938655
