bin,hour_dec,fair_per_day,ref_W1,ref_W3,ref_W4,ref_mean,ref_std,lift
94,7.833333333333333,131.33333333333334,90.0,74.66666666666667,139.66666666666666,101.44444444444446,27.7426444483516,29.888888888888886
95,7.916666666666667,113.0,89.33333333333333,101.0,119.0,103.1111111111111,12.20301521128748,9.8888888888889
96,8.0,118.66666666666667,114.0,111.66666666666667,89.0,104.8888888888889,11.275451319975438,13.777777777777771
97,8.083333333333334,110.0,82.33333333333333,97.66666666666667,85.33333333333333,88.44444444444444,6.635110500814945,21.555555555555557
98,8.166666666666666,103.33333333333333,125.0,83.66666666666667,116.66666666666667,108.44444444444446,17.847778849944977,-5.1111111111111285
99,8.25,117.0,129.0,100.33333333333333,133.66666666666666,121.0,14.737204116968226,-4.0
100,8.333333333333334,159.66666666666666,107.0,102.0,126.66666666666667,111.8888888888889,10.64697255990444,47.77777777777776
101,8.416666666666666,200.0,88.33333333333333,90.33333333333333,130.0,102.88888888888887,19.187830505457697,97.11111111111113
102,8.5,182.0,121.0,120.66666666666667,145.0,128.88888888888889,11.393088656540966,53.111111111111114
103,8.583333333333334,150.0,150.66666666666666,127.0,148.33333333333334,142.0,10.649291404004654,8.0
104,8.666666666666666,142.33333333333334,129.33333333333334,144.0,155.66666666666666,143.0,10.773767868024349,-0.6666666666666572
105,8.75,171.0,148.66666666666666,143.66666666666666,165.33333333333334,152.55555555555554,9.262962222518379,18.444444444444457
106,8.833333333333334,161.0,157.0,128.33333333333334,172.0,152.44444444444446,18.115541380432788,8.555555555555543
107,8.916666666666666,183.0,178.66666666666666,123.66666666666667,153.33333333333334,151.88888888888889,22.476874260964525,31.111111111111114
108,9.0,168.66666666666666,163.0,163.0,153.66666666666666,159.88888888888889,4.399775527382967,8.777777777777771
109,9.083333333333334,141.66666666666666,176.0,148.33333333333334,155.0,159.7777777777778,11.789302537512029,-18.111111111111143
110,9.166666666666666,146.66666666666666,162.66666666666666,147.0,128.66666666666666,146.1111111111111,13.89466546538857,0.5555555555555713
111,9.25,164.66666666666666,148.66666666666666,125.0,145.0,139.55555555555554,10.400617265632496,25.111111111111114
112,9.333333333333334,150.66666666666666,134.0,116.33333333333333,147.33333333333334,132.55555555555554,12.696845141341608,18.111111111111114
113,9.416666666666666,165.33333333333334,146.33333333333334,103.0,107.66666666666667,119.0,19.421256014614126,46.33333333333334
114,9.5,145.0,148.66666666666666,104.33333333333333,108.66666666666667,120.55555555555556,19.956124713487007,24.444444444444443
115,9.583333333333334,146.0,164.0,132.66666666666666,130.33333333333334,142.33333333333334,15.350232233736063,3.666666666666657
116,9.666666666666666,153.0,152.0,150.66666666666666,127.66666666666667,143.44444444444443,11.169844766099722,9.555555555555571
117,9.75,163.0,146.66666666666666,154.33333333333334,155.66666666666666,152.2222222222222,3.9659040661277247,10.7777777777778
118,9.833333333333334,148.33333333333334,113.0,143.66666666666666,196.33333333333334,151.0,34.41360626694471,-2.666666666666657
119,9.916666666666666,123.33333333333333,113.33333333333333,124.66666666666667,154.66666666666666,130.88888888888889,17.43842783716751,-7.555555555555557
120,10.0,121.33333333333333,120.33333333333333,82.33333333333333,154.0,118.88888888888887,29.275616618528495,2.444444444444457
121,10.083333333333334,138.0,111.33333333333333,114.0,127.33333333333333,117.55555555555554,6.99911811023272,20.444444444444457
